Название,Жанр,Режиссер,Страна,Год,qw
"Жажда жизни (фильм, 1956)",драма,Винсент Миннелли,США,1956,1
"Жажда (фильм, 2009)","драма, фэнтези",Пак Чхан Ук,Республика Корея,2009,1
"Жажда (фильм, 1959)","драма, военный",Евгений Ташков,СССР,1959,1
"Жажда (фильм, 1979)","триллер, фильм ужасов, фантастика",Род Харди,Австралия,1979,1
"Жажда (фильм, 1957)","драма, мелодрама",Гуру Датт,Индия,1957,1
Жадность (фильм),Комедия,Джонатан Линн,США,1994,1
"Жажда (фильм, 1949)",драма,Ингмар Бергман,Швеция,1949,1
"Жаворонок (фильм, 1964)","военный фильм, драма","Никита Курихин, Леонид Менакер",СССР,1964,1
Жаворонки на нитке,"комедийный фильм, парабола",Иржи Менцель,Чехословакия,1990,1
Гайвер 2: Тёмный герой,"фантастика, боевик, супергероика",Стив Ванг,США,1994,1
Гайвер (фильм),"фантастика, боевик","Стив Ванг, Скриминг Мэд Джордж","США, Япония",1991,1
Гай и Мэдлин на скамейке в парке,"музыкальный фильм, драматический фильм","Дэмьен Шазелл, .",США,2009,1
"Байкеры (фильм, 2003)","мелодрама, боевик",Реджи Рок Байтвуд,США,2003,1
Ужин с придурками,комедия,Джей Роуч,США,2010,1
"Байкеры (фильм, 2000)",боевик,Мишель Жетте,Канада,2000,1
Байкерши в городе зомби,чёрная комедия,Дэн Хоскинс,США,1989,1
"Ужин с придурком (фильм, 1998)",комедия,Франсис Вебер,Франция,1998,1
Ужин в четыре руки,драма,Михаил Козаков,Россия,1999,1
Оголённый провод,"драма, комедия",Грегг Араки,США,1992,1
"Огниво (фильм, 1959)",фильмсказка экранизация,Зигфрид Хартманн,ГДР,1959,1
Огни Сретенья,драма,Серж Корбер,"Франция, Италия",1972,1
Легенда о Билли Джин,"драма, приключения, молодёжный",Мэттью Роббинс,США,1985,1
Ze фильм,комедия,Ги Жак,Франция,2005,1
Легенда или быль?,драма,Кэйсукэ Киносита,Япония,1963,1
Легенда о Бигфуте,псевдодокументальный фильм,Гарри Уайнер,США,1976,1
